datetime,abs_datetime,t_ms,vP0,vP1,vP2,vF,rssi
2026-03-27 21:25:07.767,2026-03-27 21:25:07.231,1082,0.0041,0.4820,0.0048,0.1261,-12
2026-03-27 21:25:08.075,2026-03-27 21:25:08.038,1889,0.0060,0.4946,0.0056,0.1046,-17
2026-03-27 21:25:08.555,2026-03-27 21:25:08.941,2792,0.0066,0.4429,0.0063,0.1412,-16
2026-03-27 21:25:09.101,2026-03-27 21:25:09.849,3700,0.0051,0.4391,0.0043,0.1171,-13
2026-03-27 21:25:09.474,2026-03-27 21:25:10.936,4787,0.0052,0.4007,0.0057,0.1364,-16
2026-03-27 21:25:10.032,2026-03-27 21:25:12.094,5945,0.0062,0.4479,0.0044,0.1140,-7
2026-03-27 21:25:10.521,2026-03-27 21:25:13.014,6865,0.0055,0.4685,0.0058,0.1431,-14
2026-03-27 21:25:10.952,2026-03-27 21:25:14.196,8047,0.0064,0.4743,0.0057,0.1148,-14
2026-03-27 21:25:11.812,2026-03-27 21:25:15.344,9195,0.0050,0.4156,0.0043,0.1050,-7
2026-03-27 21:25:13.247,2026-03-27 21:25:16.257,10108,0.0062,0.4140,0.0058,0.1434,-18
2026-03-27 21:25:13.560,2026-03-27 21:25:17.108,10959,0.0043,0.4930,0.0053,0.1483,-5
2026-03-27 21:25:14.963,2026-03-27 21:25:18.036,11887,0.0064,0.4593,0.0048,0.1019,-13
2026-03-27 21:25:17.068,2026-03-27 21:25:19.218,13069,0.0068,0.4333,0.0065,0.1020,-16
2026-03-27 21:25:17.380,2026-03-27 21:25:20.230,14081,0.0047,0.4364,0.0056,0.1229,-7
2026-03-27 21:25:17.934,2026-03-27 21:25:21.053,14904,0.0058,0.4299,0.0051,0.1238,-9
2026-03-27 21:25:19.231,2026-03-27 21:25:21.905,15756,0.0046,0.4541,0.0069,0.1149,-19
2026-03-27 21:25:20.506,2026-03-27 21:25:23.063,16914,0.0055,0.4317,0.0063,0.1212,-6
2026-03-27 21:25:21.053,2026-03-27 21:25:23.896,17747,0.0045,0.4481,0.0058,0.1371,-10
